Char  Count      Encoding
----- ---------- ----------------
0x0A           2 0000
0x20           2 0001
0x31           2 0010
0x32           2 0011
0x61           2 0100
0x65           2 0101
0x67           2 0110
0x68           2 0111
0x69           2 1000
0x6F           2 1001
0x63           1 10100
0x6C           1 10101
0x73           1 10110
0x75           1 10111
0x76           1 11000
0x79           1 11001
0x33           3 1101
0x6E           6 111
